,dt,ticker,type,price,shares,amount,cash_left,transaction_cost,pnl
2995,2019-11-05,SBUX,0,77.1554946899414,127.0,9798.747825622559,100320.00942802429,0.0,-57.434478759765625
2996,2019-11-05,AMT,1,195.17063903808594,1.0,195.17063903808594,100124.8387889862,0.0,0.0
2997,2019-11-05,PG,1,111.22924041748047,2.0,222.45848083496094,99902.38030815125,0.0,0.0
2998,2019-11-05,PYPL,1,100.98999786376953,3.0,302.9699935913086,99599.41031455994,0.0,0.0
2999,2019-11-05,NEE,1,53.40278244018555,6.0,320.4166946411133,99278.99361991882,0.0,0.0
3000,2019-11-05,KO,1,47.70659255981445,6.0,286.2395553588867,98992.75406455994,0.0,0.0
3001,2019-11-05,TMO,1,290.6802978515625,1.0,290.6802978515625,98702.07376670837,0.0,0.0
3002,2019-11-05,DHR,1,131.98825073242188,2.0,263.97650146484375,98438.09726524353,0.0,0.0
3003,2019-11-05,MA,1,265.127685546875,1.0,265.127685546875,98172.96957969666,0.0,0.0
3004,2019-11-05,CL,1,61.90602111816406,5.0,309.5301055908203,97863.43947410583,0.0,0.0
3005,2019-11-05,SBUX,1,77.1554946899414,4.0,308.6219787597656,97554.81749534607,0.0,0.0
3006,2019-11-06,AMT,0,197.03700256347656,1.0,197.03700256347656,97751.85449790955,0.0,1.866363525390625
3007,2019-11-06,PG,0,112.5576171875,2.0,225.115234375,97976.96973228455,0.0,2.6567535400390625
3008,2019-11-06,PYPL,0,100.62999725341797,3.0,301.8899917602539,98278.8597240448,0.0,-1.0800018310546875
3009,2019-11-06,NEE,0,53.49213790893555,6.0,320.9528274536133,98599.81255149841,0.0,0.5361328125
3010,2019-11-06,KO,0,48.05242919921875,6.0,288.3145751953125,98888.12712669373,0.0,2.0750198364257812
3011,2019-11-06,TMO,0,292.6074523925781,1.0,292.6074523925781,99180.7345790863,0.0,1.927154541015625
3012,2019-11-06,DHR,0,133.36282348632812,2.0,266.72564697265625,99447.46022605896,0.0,2.7491455078125
3013,2019-11-06,MA,0,265.9752502441406,1.0,265.9752502441406,99713.4354763031,0.0,0.847564697265625
3014,2019-11-06,CL,0,62.43159484863281,5.0,312.15797424316406,100025.59345054626,0.0,2.62786865234375
3015,2019-11-06,SBUX,0,78.19188690185547,4.0,312.7675476074219,100338.36099815369,0.0,4.14556884765625
3016,2019-11-06,PYPL,1,100.62999725341797,96.0,9660.479736328125,90677.88126182556,0.0,0.0
3017,2019-11-06,AMT,1,197.03700256347656,49.0,9654.813125610352,81023.06813621521,0.0,0.0
3018,2019-11-06,NEE,1,53.49213790893555,182.0,9735.56909942627,71287.49903678894,0.0,0.0
3019,2019-11-06,MA,1,265.9752502441406,36.0,9575.109008789062,61712.39002799988,0.0,0.0
3020,2019-11-06,PG,1,112.5576171875,86.0,9679.955078125,52032.43494987488,0.0,0.0
3021,2019-11-06,TMO,1,292.6074523925781,33.0,9656.045928955078,42376.3890209198,0.0,0.0
3022,2019-11-06,KO,1,48.05242919921875,203.0,9754.643127441406,32621.745893478394,0.0,0.0
3023,2019-11-06,EXC,1,28.86849594116211,337.0,9728.68313217163,22893.062761306763,0.0,0.0
3024,2019-11-06,PEP,1,123.5233154296875,78.0,9634.818603515625,13258.244157791138,0.0,0.0
3025,2019-11-06,BKNG,1,2012.0899658203125,4.0,8048.35986328125,5209.884294509888,0.0,0.0
3026,2019-11-07,PYPL,0,100.47000122070312,96.0,9645.1201171875,14855.004411697388,0.0,-15.359619140625
3027,2019-11-07,AMT,0,194.8674774169922,49.0,9548.506393432617,24403.510805130005,0.0,-106.30673217773438
3028,2019-11-07,NEE,0,52.457523345947266,182.0,9547.269248962402,33950.78005409241,0.0,-188.2998504638672
3029,2019-11-07,MA,0,268.8630676269531,36.0,9679.070434570312,43629.85048866272,0.0,103.96142578125
3030,2019-11-07,PG,0,111.90279388427734,86.0,9623.640274047852,53253.49076271057,0.0,-56.31480407714844
3031,2019-11-07,TMO,0,291.5843505859375,33.0,9622.283569335938,62875.77433204651,0.0,-33.762359619140625
3032,2019-11-07,KO,0,47.588287353515625,203.0,9660.422332763672,72536.19666481018,0.0,-94.22079467773438
3033,2019-11-07,EXC,0,28.791200637817383,337.0,9702.634614944458,82238.83127975464,0.0,-26.04851722717285
3034,2019-11-07,PEP,0,122.49427795410156,78.0,9554.553680419922,91793.38496017456,0.0,-80.26492309570312
3035,2019-11-07,BKNG,0,1849.9300537109375,4.0,7399.72021484375,99193.10517501831,0.0,-648.6396484375
3036,2019-11-07,BKNG,1,1849.9300537109375,0.0,0.0,99193.10517501831,0.0,0.0
3037,2019-11-07,NEE,1,52.457523345947266,9.0,472.1177101135254,98720.98746490479,0.0,0.0
3038,2019-11-07,AMT,1,194.8674774169922,2.0,389.7349548339844,98331.2525100708,0.0,0.0
3039,2019-11-07,PYPL,1,100.47000122070312,5.0,502.3500061035156,97828.90250396729,0.0,0.0
3040,2019-11-07,KO,1,47.588287353515625,10.0,475.88287353515625,97353.01963043213,0.0,0.0
3041,2019-11-07,SO,1,53.73930740356445,9.0,483.6537666320801,96869.36586380005,0.0,0.0
3042,2019-11-07,PEP,1,122.49427795410156,4.0,489.97711181640625,96379.38875198364,0.0,0.0
3043,2019-11-07,PG,1,111.90279388427734,4.0,447.6111755371094,95931.77757644653,0.0,0.0
3044,2019-11-07,PFE,1,31.62807846069336,16.0,506.04925537109375,95425.72832107544,0.0,0.0
3045,2019-11-07,TMO,1,291.5843505859375,1.0,291.5843505859375,95134.1439704895,0.0,0.0
3046,2019-11-08,BKNG,0,1879.18994140625,0.0,0.0,95134.1439704895,0.0,
3047,2019-11-08,NEE,0,52.220027923583984,9.0,469.98025131225586,95604.12422180176,0.0,-2.1374588012695312
3048,2019-11-08,AMT,0,195.03797912597656,2.0,390.0759582519531,95994.20018005371,0.0,0.34100341796875
3049,2019-11-08,PYPL,0,101.41999816894531,5.0,507.09999084472656,96501.30017089844,0.0,4.7499847412109375
3050,2019-11-08,KO,0,47.51547622680664,10.0,475.1547622680664,96976.4549331665,0.0,-0.7281112670898438
3051,2019-11-08,SO,0,54.226158142089844,9.0,488.0354232788086,97464.49035644531,0.0,4.381656646728516
3052,2019-11-08,PEP,0,122.31970977783203,4.0,489.2788391113281,97953.76919555664,0.0,-0.698272705078125
3053,2019-11-08,PG,0,111.97762298583984,4.0,447.9104919433594,98401.6796875,0.0,0.29931640625
3054,2019-11-08,PFE,0,31.748046875,16.0,507.96875,98909.6484375,0.0,1.91949462890625
3055,2019-11-08,TMO,0,292.68682861328125,1.0,292.68682861328125,99202.33526611328,0.0,1.10247802734375
3056,2019-11-08,BKNG,1,1879.18994140625,5.0,9395.94970703125,89806.38555908203,0.0,0.0
3057,2019-11-08,DUK,1,79.73765563964844,119.0,9488.781021118164,80317.60453796387,0.0,0.0
3058,2019-11-08,NEE,1,52.220027923583984,182.0,9504.045082092285,70813.55945587158,0.0,0.0
3059,2019-11-08,AMT,1,195.03797912597656,48.0,9361.822998046875,61451.73645782471,0.0,0.0
3060,2019-11-08,KO,1,47.51547622680664,200.0,9503.095245361328,51948.64121246338,0.0,0.0
3061,2019-11-08,PEP,1,122.31970977783203,77.0,9418.617652893066,42530.02355957031,0.0,0.0
3062,2019-11-08,VZ,1,52.44340896606445,181.0,9492.257022857666,33037.76653671265,0.0,0.0
3063,2019-11-08,SBUX,1,77.04242706298828,123.0,9476.218528747559,23561.548007965088,0.0,0.0
3064,2019-11-08,TMUS,1,80.94000244140625,117.0,9469.980285644531,14091.567722320557,0.0,0.0
3065,2019-11-08,PG,1,111.97762298583984,84.0,9406.120330810547,4685.44739151001,0.0,0.0
3066,2019-11-11,BKNG,0,1896.0400390625,5.0,9480.2001953125,14165.64758682251,0.0,84.25048828125
3067,2019-11-11,DUK,0,77.65447235107422,119.0,9240.882209777832,23406.52979660034,0.0,-247.89881134033203
