,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
97,2020-01-29,0,8,7755.397777557405,97506.7268371582,105262.1246147156,110110.22916933236
98,2020-01-30,2,8,19558.494949340853,85693.79844665527,105252.29339599612,110578.8694205109
99,2020-01-31,0,8,19558.494949340853,84209.30290222168,103767.79785156253,108613.85963092363
100,2020-02-03,1,8,19558.494949340853,84410.32600402832,103968.82095336917,109942.55054507524
101,2020-02-04,0,8,19558.494949340853,85776.77345275879,105335.26840209964,111868.33089668871
102,2020-02-05,1,7,30712.452296447787,76078.37829589844,106790.83059234623,112596.39647000602
103,2020-02-06,1,8,18269.551286315953,88541.98760986328,106811.53889617923,113011.81468666883
104,2020-02-07,0,8,18269.551286315953,87951.40991210938,106220.96119842533,112502.52067503388
105,2020-02-10,1,7,32142.934523010288,74442.93785095215,106585.87237396244,113266.83918443685
106,2020-02-11,0,7,32142.934523010288,74472.42240905762,106615.35693206791,113743.87593017126
107,2020-02-12,1,8,20109.475028991736,86325.56800842285,106435.04303741458,114373.31787344409
108,2020-02-13,0,8,20109.475028991736,86775.32501220703,106884.80004119876,114192.48441595434
109,2020-02-14,0,8,20109.475028991736,87014.95971679688,107124.4347457886,114241.33666881488
110,2020-02-18,1,9,14074.750914764441,92756.37435913086,106831.1252738953,114128.11146131535
111,2020-02-19,0,9,14074.750914764441,92484.67216491699,106559.42307968144,114842.52669849363
112,2020-02-20,1,8,19649.468570709265,87557.44972229004,107206.9182929993,114454.0277433488
113,2020-02-21,1,9,17241.126420593297,90241.49208068848,107482.61850128177,113465.35300486752
114,2020-02-24,1,9,7966.89216613773,97970.21617889404,105937.10834503177,109568.92656569055
115,2020-02-25,1,8,19037.753404235875,83949.68795776367,102987.44136199955,106021.4458479077
116,2020-02-26,0,8,19037.753404235875,83158.90808105469,102196.66148529056,105444.07966187048
117,2020-02-27,1,8,19037.753404235875,79880.88817596436,98918.64158020023,100884.89506158239
118,2020-02-28,0,8,19037.753404235875,77778.37085723877,96816.12426147464,99837.92284440846
119,2020-03-02,0,8,19037.753404235875,81338.19618225098,100375.94958648685,104308.60776049698
120,2020-03-03,1,8,19037.753404235875,79212.815284729,98250.56868896488,101459.80782362279
121,2020-03-04,0,8,19037.753404235875,82184.83200073242,101222.5854049683,105602.4109083731
122,2020-03-05,1,7,22898.156392669713,76347.50881195068,99245.6652046204,102063.4092304239
123,2020-03-06,1,8,19025.804650116002,79913.07582855225,98938.88047866824,100460.566333232
124,2020-03-09,1,9,12505.659192657506,79818.66130828857,92324.32050094608,92457.40124683616
125,2020-03-10,1,8,17162.139869689978,79102.10285186768,96264.24272155765,96894.26020820603
126,2020-03-11,0,8,17162.139869689978,74646.47979736328,91808.61966705325,92251.34193260473
127,2020-03-12,1,9,8269.250736999547,75231.59141540527,83500.84215240482,83147.2897700225
128,2020-03-13,0,9,8269.250736999547,80949.3932723999,89218.64400939945,90961.46737434086
129,2020-03-16,0,9,8269.250736999547,69911.15207672119,78180.40281372074,80054.41152865604
130,2020-03-17,0,9,8269.250736999547,73531.85634613037,81801.10708312991,84822.34677198391
131,2020-03-18,1,10,2905.2088768005724,73853.91883850098,76759.12771530155,80688.14577341426
132,2020-03-19,0,10,2905.2088768005724,73959.6342086792,76864.84308547978,81285.01898653558
133,2020-03-20,1,9,8016.117545318638,64482.16381072998,72498.28135604862,77749.32062258771
134,2020-03-23,0,9,8016.117545318638,62507.022857666016,70523.14040298466,75483.38959538293
135,2020-03-24,1,9,8016.117545318638,68082.86075592041,76098.97830123905,82611.33149621055
136,2020-03-25,1,8,21508.04324111942,56305.94501495361,77813.98825607303,83687.54173845999
137,2020-03-26,0,8,21508.04324111942,59086.69452667236,80594.73776779178,88990.86446868045
138,2020-03-27,1,9,6485.5732246399275,72104.43286895752,78590.00609359745,86145.19046763485
139,2020-03-30,2,8,12726.56849365238,67410.46104431152,80137.0295379639,88756.20294763864
140,2020-03-31,0,8,12726.56849365238,65867.81845092773,78594.38694458011,87466.40653880045
141,2020-04-01,0,8,12726.56849365238,62643.559646606445,75370.12814025882,83584.2339801747
142,2020-04-02,0,8,12726.56849365238,63602.07271575928,76328.64120941165,85637.53612162385
143,2020-04-03,1,9,9477.995999145543,67002.1728515625,76480.16885070804,84394.28839133811
144,2020-04-06,1,10,3531.5267318725946,77470.73211669922,81002.25884857182,89999.84694574983
145,2020-04-07,0,10,3531.5267318725946,79488.79375457764,83020.32048645023,89922.13583449116
146,2020-04-08,0,10,3531.5267318725946,82789.25666809082,86320.78339996342,92960.87040078732
147,2020-04-09,1,10,3531.5267318725946,84409.47532653809,87941.00205841068,94361.33010520737
148,2020-04-13,0,10,3531.5267318725946,83192.31128692627,86723.83801879887,93645.28309901283
149,2020-04-14,0,10,3531.5267318725946,85506.68525695801,89038.2119888306,96418.25157253166
150,2020-04-15,2,10,3192.731141662634,83467.85488128662,86660.58602294925,94206.74133151793
151,2020-04-16,0,10,3192.731141662634,82470.20282745361,85662.93396911625,94646.0001779643
152,2020-04-17,0,10,3192.731141662634,85827.94551849365,89020.67666015628,97358.52771622744
153,2020-04-20,1,9,20239.814073181187,66958.65230560303,87198.46637878421,95781.07113666683
154,2020-04-21,1,9,20239.814073181187,65575.04539489746,85814.85946807865,92746.37660724383
155,2020-04-22,0,9,20239.814073181187,66563.36936950684,86803.18344268802,94818.02721796482
156,2020-04-23,0,9,20239.814073181187,66598.8998413086,86838.71391448978,94633.34840479137
157,2020-04-24,1,9,20239.814073181187,67403.68118286133,87643.49525604252,95982.86888843938
158,2020-04-27,1,10,16233.76040191654,73251.52568817139,89485.28609008793,97959.86855370564
159,2020-04-28,0,10,16233.76040191654,74455.3300857544,90689.09048767094,97533.2265729029
160,2020-04-29,0,10,16233.76040191654,76966.0514831543,93199.81188507084,99684.32381500176
161,2020-04-30,2,10,13036.52619400028,79024.1512298584,92060.67742385868,98346.16842930473
162,2020-05-01,0,10,13036.52619400028,76925.74272155762,89962.2689155579,95415.43794080893
163,2020-05-04,0,10,13036.52619400028,77482.60345458984,90519.12964859013,95793.05802592146
164,2020-05-05,1,9,23514.436611175573,66987.15324401855,90501.58985519412,96527.35832023177
165,2020-05-06,1,9,12902.754204559362,76834.35897827148,89737.11318283084,95748.86963622851
166,2020-05-07,0,9,12902.754204559362,77444.43550109863,90347.18970565799,96964.91259297245
167,2020-05-08,0,9,12902.754204559362,78744.84901428223,91647.60321884158,98824.49097099717
168,2020-05-11,0,9,12902.754204559362,79331.98318481445,92234.73738937381,98686.85450303533
169,2020-05-12,1,9,12902.754204559362,78086.75174713135,90989.5059516907,96786.41927492073
170,2020-05-13,0,9,12902.754204559362,77333.95481109619,90236.70901565555,95106.91789858228
171,2020-05-14,0,9,12902.754204559362,77846.9165802002,90749.67078475955,96321.08554608937
172,2020-05-15,2,8,19806.791840362584,71817.20542907715,91623.99726943973,96640.81421441813
173,2020-05-18,1,9,17358.129113006627,76351.03912353516,93709.16823654178,99932.08257335602
174,2020-05-19,0,9,17358.129113006627,75620.53203582764,92978.66114883426,98638.52076235232
175,2020-05-20,1,8,21003.788346862828,71919.97356414795,92923.76191101078,100090.26724519917
176,2020-05-21,1,9,15309.35680160526,77958.95442962646,93268.31123123172,99481.83918937051
177,2020-05-22,0,9,15309.35680160526,78118.52684020996,93427.88364181522,99673.16988613724
178,2020-05-26,0,9,15309.35680160526,79095.38516998291,94404.74197158817,101146.26616915695
179,2020-05-27,1,10,2686.729227447544,93384.70039367676,96071.4296211243,102970.13282107256
180,2020-05-28,0,10,2686.729227447544,93872.93643951416,96559.66566696171,102645.3603677006
