,dt,bid_count,position_count,cash_value,positions_value,total_value,bah
115,2019-08-30,10,0,113623.06594848633,0.0,113623.06594848633,104086.97061227432
116,2019-09-03,0,0,113623.06594848633,0.0,113623.06594848633,103426.02131962101
117,2019-09-04,0,0,113623.06594848633,0.0,113623.06594848633,104623.24605802055
118,2019-09-05,0,0,113623.06594848633,0.0,113623.06594848633,105960.16881870374
119,2019-09-06,0,0,113623.06594848633,0.0,113623.06594848633,106089.0775616263
120,2019-09-09,10,6,4967.560577392578,108655.50537109375,113623.06594848633,106332.98988738109
121,2019-09-10,0,6,4967.560577392578,106630.97076416016,111598.53134155273,106447.35204747993
122,2019-09-11,0,6,4967.560577392578,106816.88575744629,111784.44633483887,107284.01285863724
123,2019-09-12,0,6,4967.560577392578,107700.79154968262,112668.3521270752,107506.09581273368
124,2019-09-13,6,0,112878.66668701172,0.0,112878.66668701172,107511.96655419617
125,2019-09-16,10,10,4966.117095947266,107912.54959106445,112878.66668701172,106986.36637408954
126,2019-09-17,0,10,4966.117095947266,108879.71534729004,113845.8324432373,107193.07458849494
127,2019-09-18,0,10,4966.117095947266,109288.53721618652,114254.65431213379,107121.30654029654
128,2019-09-19,0,10,4966.117095947266,110134.43450927734,115100.55160522461,107109.2502966015
129,2019-09-20,10,0,115135.44998168945,0.0,115135.44998168945,106676.10433018046
130,2019-09-23,10,10,18428.11908721924,96707.33089447021,115135.44998168945,106625.17230432935
131,2019-09-24,0,10,18428.11908721924,94665.51036834717,113093.6294555664,105667.648253412
132,2019-09-25,0,10,18428.11908721924,95829.73394393921,114257.85303115845,106243.60501364965
133,2019-09-26,0,10,18428.11908721924,95534.98277664185,113963.10186386108,106068.86582395624
134,2019-09-27,10,0,113611.87543869019,0.0,113611.87543869019,105707.30939953108
135,2019-09-30,10,8,34486.411571502686,79125.4638671875,113611.87543869019,106182.42056528431
136,2019-10-01,0,8,34486.411571502686,77784.6866607666,112271.09823226929,104630.96546208186
137,2019-10-02,0,8,34486.411571502686,76288.23547363281,110774.6470451355,102618.00245244883
138,2019-10-03,0,8,34486.411571502686,76905.7373046875,111392.14887619019,103384.13808998438
139,2019-10-04,8,0,112519.08178329468,0.0,112519.08178329468,104848.48030746338
140,2019-10-07,10,8,22550.65336227417,89968.42842102051,112519.08178329468,104435.48839966697
141,2019-10-08,0,8,22550.65336227417,88835.13298034668,111385.78634262085,102790.8364371795
142,2019-10-09,0,8,22550.65336227417,89535.88256835938,112086.53593063354,103682.47286309295
143,2019-10-10,0,8,22550.65336227417,90080.37986755371,112631.03322982788,104450.31838134147
144,2019-10-11,8,0,113127.71863937378,0.0,113127.71863937378,105632.40886429134
145,2019-10-14,10,9,6966.392421722412,106161.32621765137,113127.71863937378,105551.08952552962
146,2019-10-15,0,9,6966.392421722412,107220.03898620605,114186.43140792847,106625.26528729568
147,2019-10-16,0,9,6966.392421722412,106797.08595275879,113763.4783744812,106476.27726001648
148,2019-10-17,0,9,6966.392421722412,107421.22421264648,114387.6166343689,106816.59130805083
149,2019-10-18,9,0,113784.26275253296,0.0,113784.26275253296,106417.152190085
150,2019-10-21,10,8,6820.570087432861,106963.6926651001,113784.26275253296,107034.54727803495
151,2019-10-22,0,8,6820.570087432861,105690.05012512207,112510.62021255493,106843.9521474643
152,2019-10-23,0,8,6820.570087432861,105843.0585861206,112663.62867355347,106939.80387855075
153,2019-10-24,0,8,6820.570087432861,105293.20964813232,112113.77973556519,107042.08176035892
154,2019-10-25,8,0,111936.66982650757,0.0,111936.66982650757,107788.30235639832
155,2019-10-28,10,9,10133.790111541748,101802.87971496582,111936.66982650757,108333.52608279519
156,2019-10-29,0,9,10133.790111541748,101309.7713470459,111443.56145858765,108167.40270086486
157,2019-10-30,0,9,10133.790111541748,102720.9701538086,112854.76026535034,108682.03692138934
158,2019-10-31,0,9,10133.790111541748,101865.54832458496,111999.33843612671,108414.50214285396
159,2019-11-01,9,0,112804.22239303589,0.0,112804.22239303589,109540.40447533918
160,2019-11-04,10,9,6060.722637176514,106743.49975585938,112804.22239303589,110168.27388515425
161,2019-11-05,0,9,6060.722637176514,107027.34146118164,113088.06409835815,110181.16434884358
162,2019-11-06,0,9,6060.722637176514,106649.51477050781,112710.23740768433,110422.35327023924
163,2019-11-07,0,9,6060.722637176514,106637.91580200195,112698.63843917847,110819.78682691843
164,2019-11-08,9,0,113220.57485580444,0.0,113220.57485580444,111232.02415610223
165,2019-11-11,10,8,26422.76849746704,86797.8063583374,113220.57485580444,111013.93042365334
166,2019-11-12,0,8,26422.76849746704,86312.15782165527,112734.92631912231,111151.33901194451
167,2019-11-13,0,8,26422.76849746704,85775.9801864624,112198.74868392944,111088.76182476294
168,2019-11-14,0,8,26422.76849746704,86173.04439544678,112595.81289291382,111127.22216803285
169,2019-11-15,8,0,112977.9444694519,0.0,112977.9444694519,111961.31515474127
170,2019-11-18,10,10,6428.396129608154,106549.54833984375,112977.9444694519,111892.367479743
171,2019-11-19,0,10,6428.396129608154,106510.71281433105,112939.10894393921,111696.76719041164
172,2019-11-20,0,10,6428.396129608154,106277.74543762207,112706.14156723022,111439.09354224903
173,2019-11-21,0,10,6428.396129608154,106141.89147949219,112570.28760910034,111412.29842357882
174,2019-11-22,10,0,112701.83744430542,0.0,112701.83744430542,111660.89300186699
175,2019-11-25,10,10,3906.115436553955,108795.72200775146,112701.83744430542,112412.17553635099
176,2019-11-26,0,10,3906.115436553955,108838.57669830322,112744.69213485718,112544.60597536305
177,2019-11-27,0,10,3906.115436553955,109362.05768585205,113268.173122406,112976.13074983667
178,2019-11-29,10,0,112973.10781478882,0.0,112973.10781478882,112579.57044431167
179,2019-12-02,10,9,30468.928241729736,82504.17957305908,112973.10781478882,111663.8720476079
180,2019-12-03,0,9,30468.928241729736,81887.44449615479,112356.37273788452,110874.43499619237
181,2019-12-04,0,9,30468.928241729736,82173.9824295044,112642.91067123413,111580.41752153251
182,2019-12-05,0,9,30468.928241729736,82512.92304992676,112981.8512916565,111708.06843082893
183,2019-12-06,9,0,113796.64468765259,0.0,113796.64468765259,112764.49675269797
184,2019-12-09,10,8,17058.742237091064,96737.90245056152,113796.64468765259,112598.96649674894
185,2019-12-10,0,8,17058.742237091064,96325.48484802246,113384.22708511353,112387.8033199502
186,2019-12-11,0,8,17058.742237091064,97034.33132171631,114093.07355880737,112681.62161382975
187,2019-12-12,0,8,17058.742237091064,97999.94812011719,115058.69035720825,113902.75590785788
188,2019-12-13,8,0,114155.53846359253,0.0,114155.53846359253,113805.85198828756
189,2019-12-16,10,7,5493.575572967529,108661.962890625,114155.53846359253,114563.42874941321
190,2019-12-17,0,7,5493.575572967529,108803.52363586426,114297.09920883179,114686.93356320728
191,2019-12-18,0,7,5493.575572967529,108458.74481201172,113952.32038497925,114558.92593243235
192,2019-12-19,0,7,5493.575572967529,109736.19995117188,115229.7755241394,115054.09028626597
193,2019-12-20,7,0,115749.14274215698,0.0,115749.14274215698,115578.44615613804
194,2019-12-23,10,8,2104.356861114502,113644.78588104248,115749.14274215698,115649.25027084813
195,2019-12-24,0,8,2104.356861114502,113505.70602416992,115610.06288528442,115636.4365724015
196,2019-12-26,0,8,2104.356861114502,114029.7477722168,116134.1046333313,116079.29535452489
197,2019-12-27,8,0,116150.98390579224,0.0,116150.98390579224,116090.13017942573
198,2019-12-30,10,9,31413.778972625732,84737.2049331665,116150.98390579224,115321.4025568615
199,2019-12-31,0,9,31413.778972625732,84801.31664276123,116215.09561538696,115670.49798965456
200,2020-01-02,0,9,31413.778972625732,85054.43897247314,116468.21794509888,116589.90493276594
201,2020-01-03,9,0,115863.34638595581,0.0,115863.34638595581,115761.11421945237
202,2020-01-06,10,7,2495.3282356262207,113368.01815032959,115863.34638595581,116080.03609511726
203,2020-01-07,0,7,2495.3282356262207,113652.49195098877,116147.82018661499,115865.68102240941
204,2020-01-08,0,7,2495.3282356262207,113749.52697753906,116244.85521316528,116457.65605680553
205,2020-01-09,0,7,2495.3282356262207,114772.7367401123,117268.06497573853,117157.58919880011
206,2020-01-10,7,0,117125.94633102417,0.0,117125.94633102417,116758.29549020242
207,2020-01-13,10,7,728.0135154724121,116397.93281555176,117125.94633102417,117752.46279943072
208,2020-01-14,0,7,728.0135154724121,115821.23603820801,116549.24955368042,117801.45799798911
209,2020-01-15,0,7,728.0135154724121,117200.84571838379,117928.8592338562,117813.99619545581
210,2020-01-16,0,7,728.0135154724121,118183.2103729248,118911.22388839722,118566.48143446309
211,2020-01-17,7,0,119298.97222518921,0.0,119298.97222518921,119007.70010574054
212,2020-01-21,0,0,119298.97222518921,0.0,119298.97222518921,118744.43649445687
213,2020-01-22,0,0,119298.97222518921,0.0,119298.97222518921,118907.39710201167
214,2020-01-23,0,0,119298.97222518921,0.0,119298.97222518921,118991.0615972884
215,2020-01-24,0,0,119298.97222518921,0.0,119298.97222518921,117867.32490812743
216,2020-01-27,10,9,15000.241374969482,104298.73085021973,119298.97222518921,116119.16984611732
217,2020-01-28,0,9,15000.241374969482,105707.68051147461,120707.92188644409,117031.12021400493
